Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:33:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:33:46 PM  1000     24538   98.00    1.00    0.00    0.00   99.00     3  blur
06:33:47 PM  1000     24538   99.00    0.00    0.00    0.00   99.00     3  blur
06:33:48 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:49 PM  1000     24538   99.00    0.00    0.00    1.00   99.00     3  blur
06:33:50 PM  1000     24538  100.00    1.00    0.00    0.00  101.00     3  blur
06:33:51 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:52 PM  1000     24538   99.00    0.00    0.00    0.00   99.00     2  blur
06:33:53 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:54 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:55 PM  1000     24538  100.00    0.00    0.00    1.00  100.00     3  blur
06:33:56 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:57 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:58 PM  1000     24538  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:59 PM  1000     24538   98.00    0.00    0.00    0.00   98.00     8  blur
