Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:37:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:37:41 PM  1000     33413   97.00    2.00    0.00    0.00   99.00     7  blur
06:37:42 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:43 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:44 PM  1000     33413   99.00    0.00    0.00    0.00   99.00     7  blur
06:37:45 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:46 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:47 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:48 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     6  blur
06:37:49 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:50 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:51 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:52 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:53 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:37:54 PM  1000     33413  100.00    0.00    0.00    1.00  100.00     2  blur
06:37:55 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:37:56 PM  1000     33413   99.00    0.00    0.00    0.00   99.00     3  blur
06:37:57 PM  1000     33413  100.00    1.00    0.00    0.00  101.00     2  blur
06:37:58 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     2  blur
06:37:59 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:38:00 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     2  blur
06:38:01 PM  1000     33413   99.00    1.00    0.00    0.00  100.00     2  blur
06:38:02 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:38:03 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     7  blur
06:38:04 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:05 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:06 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     7  blur
06:38:07 PM  1000     33413   99.00    0.00    0.00    1.00   99.00     6  blur
06:38:08 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:09 PM  1000     33413   99.00    0.00    0.00    0.00   99.00     7  blur
06:38:10 PM  1000     33413   99.00    1.00    0.00    1.00  100.00     7  blur
06:38:11 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:12 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:13 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:38:14 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:38:15 PM  1000     33413   99.00    0.00    0.00    0.00   99.00     6  blur
06:38:16 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:38:17 PM  1000     33413  100.00    0.00    0.00    1.00  100.00     7  blur
