procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5944996 298180 4707912    0    0  9184  4503 15526   25  5  5 89  0  0  0
 2  0      0 5885496 298192 4707952    0    0     0    88 20881 106371 10  7 83  0  0  0
 2  0      0 5887808 298192 4707960    0    0     0     0 20662 109530  9  7 84  0  0  0
 4  0      0 5895364 298192 4707960    0    0     0  3620 21428 111207 11  7 82  0  0  0
 2  0      0 5894516 298192 4707960    0    0     0     0 22554 104977  9  7 84  0  0  0
 3  0      0 5917792 298192 4707960    0    0     0   180 25054 116740 10  8 82  0  0  0
 3  0      0 5917724 298200 4707956    0    0     0     0 23935 107645 10  7 84  0  0  0
 5  0      0 5918892 298200 4707960    0    0     0     0 22513 108648  9  7 84  0  0  0
 3  0      0 5918308 298208 4707960    0    0     0    20 21313 106865 11  7 82  0  0  0
 3  0      0 5922704 298208 4707960    0    0     0     0 22468 110976  9  7 83  0  0  0
 2  0      0 5933160 298208 4699760    0    0     0     0 24328 109843 10  8 82  0  0  0
 2  0      0 5933680 298224 4699752    0    0     0   240 22426 100975  9  7 84  0  0  0
 4  0      0 5925688 298228 4699744    0    0     4     0 21863 113711 10  8 82  0  0  0
 2  0      0 5927156 298232 4699740    0    0     0    40 22211 111311 11  8 81  0  0  0
 3  0      0 5929524 298232 4699744    0    0     0     0 20524 109042  9  7 84  0  0  0
 5  0      0 5928580 298232 4699748    0    0    12     0 21876 113086 10  8 82  0  0  0
 6  0      0 5911668 298372 4711048    0    0  3292  9664 24445 102677 11 10 78  0  0  0
 3  0      0 5933128 298372 4711636    0    0     0   528 23368 101779 10  8 83  0  0  0
 2  0      0 5947548 298372 4711636    0    0     0   328 25922 95782 12  7 81  0  0  0
 3  0      0 5949480 298372 4711928    0    0     0    48 22724 97693  9  7 84  0  0  0
