Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/20/2024 	_x86_64_	(16 CPU)

03:02:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:02:45 PM  1000     47818   99.00    0.00    0.00    0.00   99.00     3  pearson
03:02:46 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     6  pearson
03:02:47 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:48 PM  1000     47818   99.00    1.00    0.00    0.00  100.00     7  pearson
03:02:49 PM  1000     47818   99.00    1.00    0.00    0.00  100.00     7  pearson
03:02:50 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:51 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:52 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:53 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:54 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     6  pearson
03:02:55 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:56 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:57 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:58 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:02:59 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:00 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:01 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:02 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:03 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:04 PM  1000     47818  100.00    0.00    0.00    0.00  100.00     7  pearson
03:03:05 PM  1000     47818   11.00   89.00    0.00    0.00  100.00     7  pearson
03:03:06 PM  1000     47818   15.00   84.00    0.00    0.00   99.00     7  pearson
