procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 397256 241956 5699352    0    0  1659   501 17936   19  8  7 85  0  0  0
 6  0      0 252076 241980 5830376    0    0  7372  2896 11162 16493 15 10 75  0  0  0
 4  0      0 362516 242044 5725160    0    0     8 19020 10842 14419 13  8 79  0  0  0
 4  0      0 360688 242048 5748312    0    0  2328  1700 11225 15407 12  8 80  0  0  0
 2  0      0 397716 242108 5730272    0    0     0  6700 10857 14691 10  8 82  0  0  0
 3  0      0 401032 242108 5730268    0    0     0   264 8697 16295  9  4 87  0  0  0
 1  0      0 395104 242108 5730268    0    0     0     0 7460 10545  9  5 86  0  0  0
 1  0      0 398472 242108 5732444    0    0     0   548 7499 11160  8  6 86  0  0  0
 1  0      0 342760 242108 5731484    0    0     0     0 7413 10489  9  6 85  0  0  0
 4  0      0 339648 242120 5729308    0    0     0   156 7679 11144  9  5 86  0  0  0
 2  0      0 346356 242128 5729308    0    0     0   168 8446 16371  9  5 86  0  0  0
 4  0      0 347380 242128 5729312    0    0     0   188 7494 10654  9  6 85  0  0  0
 2  0      0 344292 242128 5731488    0    0     0   152 7839 10732  9  6 85  0  0  0
 3  0      0 358776 242128 5731496    0    0     0     0 7244 10484  9  6 86  0  0  0
 3  0      0 369192 242128 5729320    0    0     0    84 7576 10965  9  5 85  0  0  0
 3  0      0 367500 242136 5729320    0    0     0    96 8547 16459  9  6 85  0  0  0
 3  0      0 366504 242136 5729320    0    0     0     0 7449 10452  9  6 84  0  0  0
 3  0      0 374828 242152 5731496    0    0     0   284 7783 11075  8  6 85  0  0  0
 2  0      0 379048 242152 5731496    0    0     0     0 7533 11267  8  6 86  0  0  0
 2  0      0 394780 242152 5729320    0    0     0     0 7567 10918  9  5 86  0  0  0
 6  0      0 393704 242152 5729320    0    0     0    72 8284 15672  8  5 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 377744 242152 5736808    0    0     0     0 9040 11569 14 19 66  0  0  0
 5  0      0 348556 242160 5739124    0    0     0    88 10958 13256 13 20 67  0  0  0

no
