Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:53:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:53:37 PM  1000     49344   98.00    0.00    0.00    0.00   98.00     7  pearson
06:53:38 PM  1000     49344  100.00    1.00    0.00    0.00  101.00     7  pearson
06:53:39 PM  1000     49344   99.00    0.00    0.00    0.00   99.00     2  pearson
06:53:40 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     6  pearson
06:53:41 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     7  pearson
06:53:42 PM  1000     49344  100.00    0.00    0.00    1.00  100.00     7  pearson
06:53:43 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     7  pearson
06:53:44 PM  1000     49344   99.00    0.00    0.00    0.00   99.00     3  pearson
06:53:45 PM  1000     49344  100.00    0.00    0.00    1.00  100.00     3  pearson
06:53:46 PM  1000     49344   99.00    0.00    0.00    0.00   99.00     7  pearson
06:53:47 PM  1000     49344   99.00    0.00    0.00    1.00   99.00     7  pearson
06:53:48 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     7  pearson
06:53:49 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     6  pearson
06:53:50 PM  1000     49344   99.00    0.00    0.00    0.00   99.00     7  pearson
06:53:51 PM  1000     49344   99.00    1.00    0.00    1.00  100.00     6  pearson
06:53:52 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     6  pearson
06:53:53 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     7  pearson
06:53:54 PM  1000     49344  100.00    0.00    0.00    0.00  100.00     6  pearson
06:53:55 PM  1000     49344   99.00    0.00    0.00    1.00   99.00     7  pearson
06:53:56 PM  1000     49344   99.00    1.00    0.00    0.00  100.00     6  pearson
06:53:57 PM  1000     49344   99.00    0.00    0.00    1.00   99.00     7  pearson
06:53:58 PM  1000     49344   99.00    2.00    0.00    0.00  101.00     3  pearson
06:53:59 PM  1000     49344   42.00    8.00    0.00    0.00   50.00     5  pearson
06:54:00 PM  1000     49344    6.00   12.00    0.00    0.00   18.00    10  pearson
06:54:01 PM  1000     49344    6.00   14.00    0.00    1.00   20.00    14  pearson
06:54:02 PM  1000     49344    8.00   12.00    0.00    0.00   20.00    12  pearson
06:54:03 PM  1000     49344    9.00   11.00    0.00    0.00   20.00     6  pearson
06:54:04 PM  1000     49344    7.00   13.00    0.00    0.00   20.00     6  pearson
06:54:05 PM  1000     49344    6.00   12.00    0.00    0.00   18.00     2  pearson
06:54:06 PM  1000     49344    7.00   12.00    0.00    1.00   19.00     3  pearson
06:54:07 PM  1000     49344    7.00   10.00    0.00    0.00   17.00     4  pearson
06:54:08 PM  1000     49344   10.00    9.00    0.00    0.00   19.00     2  pearson
06:54:09 PM  1000     49344    4.00   15.00    0.00    0.00   19.00    10  pearson
06:54:10 PM  1000     49344    7.00   11.00    0.00    0.00   18.00    10  pearson
06:54:11 PM  1000     49344    7.00   11.00    0.00    1.00   18.00    14  pearson
06:54:12 PM  1000     49344    7.00   12.00    0.00    0.00   19.00     3  pearson
06:54:13 PM  1000     49344    6.00   11.00    0.00    0.00   17.00     3  pearson
06:54:14 PM  1000     49344    9.00   10.00    0.00    0.00   19.00     8  pearson
06:54:15 PM  1000     49344    4.00   15.00    0.00    0.00   19.00    12  pearson
06:54:16 PM  1000     49344    5.00   13.00    0.00    0.00   18.00     3  pearson
06:54:17 PM  1000     49344    7.00   12.00    0.00    1.00   19.00    14  pearson
06:54:18 PM  1000     49344    5.00   13.00    0.00    0.00   18.00    13  pearson
06:54:19 PM  1000     49344    5.00   13.00    0.00    0.00   18.00    10  pearson
