procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3499712 478840 5640396    0    0  2218  1512 12007   23  7  5 88  0  0  0
 2  0      0 3485140 478844 5640404    0    0     0     0 10471 18049  9  4 87  0  0  0
 3  0      0 3490780 478844 5640408    0    0     0     0 9772 12679  9  4 87  0  0  0
 5  0      0 3489128 478844 5640408    0    0     0     8 11848 15098 10  4 85  0  0  0
 2  0      0 3483196 478852 5640408    0    0     0    20 9250 11924  8  4 88  0  0  0
 2  0      0 3474128 478852 5640408    0    0     0  1544 8333 11777  7  4 88  0  0  0
 2  0      0 3472672 478860 5640404    0    0     0   164 11145 18350  9  5 87  0  0  0
 4  0      0 3471840 478860 5640408    0    0     0     0 12498 15790  9  4 87  0  0  0
 1  0      0 3469984 478868 5640416    0    0     0    40 11227 14921 10  4 86  0  0  0
 2  0      0 3469176 478868 5640420    0    0     0    28 9866 13029  8  4 88  0  0  0
 2  0      0 3463376 478884 5640404    0    0     0    56 12299 14689  9  5 87  0  0  0
 2  0      0 3470976 478884 5640412    0    0     0    32 15013 21781 10  4 85  0  0  0
 2  0      0 3473184 478884 5640412    0    0     0   164 9769 13294  8  4 87  0  0  0
 2  0      0 3471892 478888 5640408    0    0     0    68 8307 12330  9  4 87  0  0  0
 2  0      0 3469104 478888 5640416    0    0     0     0 12100 15178  8  4 88  0  0  0
 1  0      0 3466784 478904 5640420    0    0     0    96 13538 16759  9  4 86  1  0  0
 1  0      0 3466052 478904 5640420    0    0     0     0 8379 16503  8  4 88  0  0  0
 3  0      0 3466648 478904 5640420    0    0     0    32 8910 11865  8  4 88  0  0  0
 3  0      0 3468268 478904 5640420    0    0     0   408 10696 13806 10  4 86  0  0  0
 4  0      0 3465300 478904 5640420    0    0     0     0 10381 12818  8  4 87  0  0  0
 3  0      0 3447824 478904 5640456    0    0     0    20 11077 13090  8  5 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 3448656 478912 5640456    0    0     0    52 12126 19632  9  4 87  0  0  0
 1  0      0 3450660 478912 5640456    0    0     0     0 12013 15463  9  5 87  0  0  0
 5  0      0 3457196 479224 5630072    0    0     0    20 13070 141198  7  6 87  0  0  0
 1  0      0 3448900 479736 5630476    0    0     0   164 9823 215565  2  7 90  0  0  0
 2  0      0 3447772 480180 5631156    0    0     0   100 11858 184042  3  8 89  0  0  0
 2  0      0 3447384 480608 5631468    0    0     0    36 14626 190778  8  7 86  0  0  0
 3  0      0 3444668 481028 5631892    0    0     0     0 15071 185430  9  6 85  0  0  0
 2  0      0 3449636 481432 5632444    0    0     0  2388 15682 180667  8  7 84  1  0  0
 2  0      0 3449136 481928 5632824    0    0     0     0 13195 210978  4  7 89  0  0  0
 0  0      0 3436804 482508 5633408    0    0    56   448 12000 215903  2  7 91  0  0  0
 1  0      0 3438300 483012 5633940    0    0     0     0 13575 218885  3  8 89  0  0  0
 3  0      0 3421616 483512 5634556    0    0     4     0 14360 216482  5  8 86  0  0  0
 1  0      0 3425784 484008 5631452    0    0     0     0 15954 217882  7  9 84  0  0  0
 1  0      0 3426868 484532 5632048    0    0     0   140 12035 215700  3  7 90  0  0  0
 3  0      0 3432700 485048 5632168    0    0     0   228 9726 216229  3  7 90  0  0  0
 0  0      0 3431492 485564 5632812    0    0     0     0 9895 221732  3  8 89  0  0  0
 1  0      0 3425720 486080 5633328    0    0     0     0 7866 216310  3  7 90  0  0  0
 2  0      0 3426748 486592 5633824    0    0     0  4184 10385 213966  4  7 89  0  0  0
 1  0      0 3428900 487112 5634368    0    0     0     0 9914 217357  2  7 90  0  0  0
 0  0      0 3418292 487640 5634740    0    0     0    52 12705 216326  3  8 89  0  0  0
 2  0      0 3417332 488140 5635376    0    0     0    12 14310 221267  4  7 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 3417584 488652 5635780    0    0     0   160 12967 218867  3  7 90  0  0  0
 1  0      0 3416620 489156 5636420    0    0     0  3748 14373 220453  4  7 88  0  0  0
